Upc,Department,qty,incltaxes,inclfees,Name,size,ebt,byweight,Fee Multiplier,cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
076410901282,Snacks,1,n,n,Lance Peanut Butter,1.29 Oz,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
076410901299,Snacks,1,n,n,Lance Toast Chee Peanut Butter,1.52 oz,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
076410901626,Snacks,1,n,n,Poiette'S Creative Designs,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076410901633,Snacks,1,n,n,Poiette'S Creative Designs,1.52 oz,,n,1,1,0,n,,-1,,,,,,n,,,,,,,
076410901855,Snacks,1,n,n,Lance Captain'S Wafers Cream Cheese & Chives Crackers,1.375,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
076410903873,Snacks,1,n,n,Chedder Cheese Crackers,50,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
076410904641,Grocery,1,n,n,Pringles Chedder Cheese,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076452304003,Tobacco,1,n,n,Hav-A-Tampa Jewels Original,,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
076452304034,Tobacco,1,n,n,Havatampa Jewels Sweet 2 Pk,2.00 CT,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076452700201,Tobacco,1,n,n,Hav-A-Tampa Jewels Cigar Mild,5.00 CT,n,n,1,0,0,n,,0,,,,,,n,,,,,,,
076452700546,Tobacco,1,n,n,Hav-A-Tampa Jewels Cigar Sweet,5.00 CT,n,n,1,0,0,n,,0,,,,,,n,,,,,,,
076580160175,Snacks,1,n,n,Loacker Hazelnut,1,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
076625999951,Drinks T5,1,n,n,Arctic Frost,,n,n,1,0,0,n,,0,,,,,,n,,,,,,,
076625999968,Drinks T5,1,n,n,Arctic Frost,,n,n,1,0,0,n,,0,,,,,,n,,,,,,,
076660008649,Item Tax,1,n,n,Fixodent:Original,1.40 OZ,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
076753118606,Item Tax,1,n,n,Opener,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076753125314,Item Tax,1,n,n,Winged Corkscrew,,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
076753125529,Item Tax,1,n,n,Corkscrew,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076808011609,Grocery,1,n,n,Barilla,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076808011616,Grocery,1,n,n,Barilla,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076808280081,Grocery,1,n,n,Barilla:Spaghetti,16.00 OZ,,n,1,0,0,n,,0,,,,,,n,,,,,,,
